"","america","american","back","better","children","countri","day","hope","job","just","know","life","like","live","make","mani","nation","need","never","one","peopl","presid","state","thank","time","want","way","work","year","now","take","Cluster"
"obama01.txt",13,8,4,2,2,2,2,7,3,3,8,1,2,6,4,7,7,1,5,7,12,2,6,2,9,1,2,5,6,0,0,1
"obama02.txt",10,5,2,2,3,2,5,3,4,4,5,3,2,1,2,3,15,1,2,2,8,1,2,2,6,0,3,8,3,6,2,1
"obama03.txt",10,2,6,1,1,2,3,5,1,8,7,2,4,2,4,1,4,3,0,11,8,0,6,1,8,4,3,3,4,0,0,1
"obama04.txt",26,26,6,8,3,17,7,5,10,11,11,4,7,14,18,8,8,13,3,21,11,10,5,3,19,3,3,26,11,11,10,2
"obama05.txt",9,16,1,8,9,10,4,3,5,7,3,1,0,1,6,6,5,8,2,4,10,6,5,3,16,4,0,11,8,1,3,1
"obama06.txt",10,16,1,1,3,15,2,4,6,6,4,4,3,2,4,2,2,15,3,12,10,8,9,2,8,5,2,8,10,1,2,1
"obama07.txt",0,0,0,1,1,1,1,1,0,2,3,0,3,1,3,0,1,1,1,1,3,5,1,0,0,4,1,0,0,1,1,3
"obama08.txt",21,6,3,2,3,9,3,11,6,5,8,5,3,1,5,2,4,1,3,7,8,3,13,1,1,3,1,8,3,3,0,1
"obama09.txt",3,5,3,1,6,4,3,7,0,2,5,2,4,4,2,2,3,4,7,8,14,0,3,5,5,0,3,2,6,2,4,1
"obama10.txt",2,3,1,5,2,1,0,1,7,11,4,3,4,2,5,0,0,2,3,6,9,3,1,1,1,3,2,7,4,3,6,3
"obama11.txt",1,2,2,1,1,5,2,4,2,3,4,4,4,4,3,2,1,1,2,4,11,0,1,2,3,5,2,4,3,0,5,3
"obama12.txt",2,1,2,1,10,1,0,1,1,1,1,1,0,4,0,6,0,3,0,0,0,4,2,0,5,1,1,7,1,1,1,3
"romney01.txt",5,0,0,0,2,4,0,1,1,3,1,1,2,0,0,3,6,0,0,0,3,3,0,19,2,3,0,4,1,0,1,3
"romney02.txt",9,11,5,14,3,6,11,1,23,9,10,4,4,1,2,2,3,5,3,9,7,16,7,2,6,3,5,11,12,6,5,4
"romney03.txt",12,17,4,4,2,2,3,0,19,3,3,2,4,5,10,2,9,4,0,10,7,17,5,1,9,2,2,4,17,7,7,4
"romney04.txt",23,13,5,3,1,5,1,8,0,4,4,0,4,2,8,11,12,5,4,10,7,21,10,3,3,7,4,7,7,7,1,1
"romney05.txt",6,8,0,2,0,9,3,2,5,6,1,3,3,8,4,3,13,1,2,6,15,9,1,3,3,2,1,13,6,3,1,1
"romney06.txt",11,13,6,4,8,7,4,2,19,4,8,1,11,6,6,5,8,8,3,8,12,17,7,2,3,7,1,8,11,3,9,4
"romney07.txt",8,9,3,0,0,6,10,1,1,5,2,3,4,4,3,7,16,6,5,6,3,0,3,6,5,2,2,3,4,4,2,1
"romney08.txt",52,35,6,17,6,6,13,2,27,8,13,8,9,12,6,9,9,11,4,12,5,35,6,1,12,15,9,13,12,10,5,2
"romney09.txt",19,14,9,8,2,3,5,0,19,4,3,1,3,7,7,1,6,8,2,8,6,25,3,2,2,5,5,10,7,3,6,4
"romney10.txt",3,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0,3,2,0,0,0,4,1,0,0,1,0,3
"romney11.txt",7,8,3,4,1,1,3,0,1,0,1,4,0,1,0,0,2,0,1,1,6,4,2,0,1,0,0,5,0,1,4,3
"romney12.txt",16,10,1,6,1,4,2,5,2,1,3,0,2,1,6,0,5,1,1,5,3,12,4,2,4,10,0,3,6,3,1,1
